Title,Price,Last Update
"Stanza singola via Giovanni Boccaccio 9, Trieste",€ 150/mese,2023-09-18
"Posto letto in doppia via Capodistria, Trieste",€ 175 a posto letto,2023-09-18
"Stanza doppia via della Tesa 48, Trieste","€ 380/mese
            

            € 190 a posto letto",2023-09-18
"Posto letto in doppia via della Ginnastica 43, Trieste",€ 195 a posto letto,2023-09-18
"Stanza doppia via Giosuè Carducci, Trieste",€ 200/mese,2023-09-18
"Stanza in affitto in appartamento via Giovanni Berchet 4, Trieste",€ 205/mese,2023-09-18
"Stanza singola via Giosuè Carducci 30, Trieste",€ 230/mese,2023-09-18
"Stanza in affitto Borgo Teresiano, Trieste",€ 250/mese,2023-09-18
"Stanza in affitto in appartamento via Domenico Rossetti, Trieste",€ 250/mese,2023-09-18
"Stanza in affitto in appartamento via Andrea Pollitzer, Trieste",€ 260/mese,2023-09-18
"Stanza in affitto in appartamento via Udine, Trieste",€ 270/mese,2023-09-18
"Stanza singola via dei Baiardi 136, Trieste",€ 280/mese,2023-09-18
"Stanza in affitto in appartamento via di Roiano, Trieste",€ 290/mese,2023-09-18
"Stanza in affitto in appartamento via Andrea Palladio, Trieste",€ 290/mese,2023-09-18
"Stanza singola via Margherita 21, Trieste",€ 300/mese,2023-09-18
"Stanza singola via Domenico Rossetti, Trieste",€ 300/mese,2023-09-18
"Stanza singola salita di Vuardel 9, Trieste",€ 300/mese,2023-09-18
"Stanza singola via Fabio Severo 37, Trieste",€ 310/mese,2023-09-18
"Stanza in affitto in appartamento viale della Terza Armata, Trieste",€ 310/mese,2023-09-18
"Stanza singola piazzale Europa, Trieste",€ 320/mese,2023-09-18
"Stanza singola via Giambattista Tiepolo 9, Trieste",€ 325/mese,2023-09-18
"Posto letto in doppia via Torino 22, Trieste",€ 330 a posto letto,2023-09-18
"Stanza singola via del Pilone 3, Trieste",€ 350/mese,2023-09-18
"Stanza singola viale Miramare, Trieste",€ 350/mese,2023-09-18
"Stanza in affitto in appartamento largo della Barriera Vecchia, Trieste",€ 350/mese,2023-09-18
